",Type selection,Temps d'execution, Meilleur score, Nombre d'individu, Nombre generation, Mutation, Survivants,"
",selection_duel_pondere,5.7975358963012695,316.67646827599435,50,10,0.005,20,"
",selection_p_best,1.8919811248779297,469.3014880649664,50,10,0.005,45,"
",selection_par_rang,1.8270704746246338,469.3014880649664,50,10,0.005,45,"
",selection_proportionnelle,1.787219524383545,469.3014880649664,50,10,0.005,45,"
",selection_duel,5.4474265575408936,469.3014880649664,50,10,0.005,22,"
",selection_duel_pondere,5.826415061950684,364.2559481745782,50,10,0.005,22,"
",selection_p_best,8.70475959777832,270.2866187955181,50,10,0.01,5,"
",selection_par_rang,8.342685461044312,470.0403199540385,50,10,0.01,5,"
",selection_proportionnelle,8.441418170928955,334.8357253005332,50,10,0.01,5,"
",selection_duel,8.851324796676636,629.4214009646988,50,10,0.01,2,"
",selection_duel_pondere,8.84035325050354,503.6084389809306,50,10,0.01,2,"
",selection_p_best,7.972485303878784,418.4476702032477,50,10,0.01,10,"
",selection_par_rang,7.810109376907349,688.9586548069921,50,10,0.01,10,"
",selection_proportionnelle,7.2655675411224365,928.8272560706239,50,10,0.01,10,"
",selection_duel,8.314790725708008,603.1456935195605,50,10,0.01,5,"
",selection_duel_pondere,8.408474683761597,322.885787905763,50,10,0.01,5,"
",selection_p_best,6.778910875320435,377.9363110966588,50,10,0.01,15,"
",selection_par_rang,6.998278379440308,335.3511767155477,50,10,0.01,15,"
",selection_proportionnelle,7.023038148880005,482.1543608112631,50,10,0.01,15,"
",selection_duel,11.262871503829956,417.05665169676735,50,10,0.01,7,"
",selection_duel_pondere,12.758871793746948,414.73462907282624,50,10,0.01,7,"
",selection_p_best,8.560104608535767,493.1604855136571,50,10,0.01,20,"
",selection_par_rang,7.768219470977783,254.04510871749972,50,10,0.01,20,"
",selection_proportionnelle,7.136960744857788,522.6393450060423,50,10,0.01,20,"
",selection_duel,11.277832984924316,509.02625244045794,50,10,0.01,10,"
",selection_duel_pondere,11.134218692779541,253.10781946487867,50,10,0.01,10,"
",selection_p_best,6.680131196975708,575.9882464329525,50,10,0.01,25,"
",selection_par_rang,6.761912822723389,510.9124038988154,50,10,0.01,25,"
",selection_proportionnelle,6.726008415222168,478.5930978871612,50,10,0.01,25,"
",selection_duel,9.611292839050293,634.3727487163164,50,10,0.01,12,"
",selection_duel_pondere,9.186467170715332,393.93550437285273,50,10,0.01,12,"
",selection_p_best,5.3865907192230225,654.2783050273979,50,10,0.01,30,"
",selection_par_rang,5.404545068740845,789.1963160441932,50,10,0.01,30,"
",selection_proportionnelle,5.659914970397949,630.4727719903965,50,10,0.01,30,"
",selection_duel,9.071738004684448,338.4557764535073,50,10,0.01,15,"
",selection_duel_pondere,8.48135232925415,316.07819053407474,50,10,0.01,15,"
",selection_p_best,4.437131404876709,523.8548784792883,50,10,0.01,35,"
